FIPS,POP,SUM,RATE
23013,39855,161,403.96
23015,33969,153,450.41
23017,57202,248,433.55
23019,152692,231,151.28
23021,16931,49,289.41
23023,35149,66,187.77
23025,51113,329,643.67
23027,39155,88,224.75
23029,31625,96,303.56
23031,201169,311,154.6
24001,72528,221,304.71
24003,564195,11174,1980.52
24005,831128,24964,3003.63
24009,90595,871,961.42
24011,32579,196,601.61
24015,102382,467,456.13
24017,156118,2752,1762.77
24019,32384,152,469.37
24021,245322,1379,562.12
24023,29460,219,743.38
24025,250290,1876,749.53
24027,313414,4815,1536.31
24029,19787,99,500.33
24031,1040116,15700,1509.45
24033,909535,12733,1399.95
24035,48904,362,740.23
24037,111413,1865,1673.95
24039,25768,46,178.52
24041,37512,130,346.56
24043,149585,1335,892.47
24045,102370,536,523.59
24047,51540,263,510.28
26001,10349,72,695.72
26003,9383,5,53.29
26005,114625,635,553.98
26007,28803,74,256.92
26009,23154,163,703.98
26011,15261,96,629.05
26013,8575,18,209.91
26015,59314,387,652.46
26017,105659,490,463.76
26019,17457,57,326.52
26021,154636,806,521.22
26023,43664,132,302.31
26027,51657,0,0
26029,26238,126,480.22
26031,25427,52,204.51
26033,38033,17,44.7
26037,77390,111,143.43
26039,13801,116,840.52
26041,36377,50,137.45
26043,25788,1,3.88
26045,108801,1135,1043.19
26047,33161,122,367.9
26049,410849,155,37.73
26051,25164,146,580.19
26053,15431,33,213.86
26055,91636,655,714.78
26057,41540,307,739.05
26059,45941,203,441.87
26063,31883,107,335.6
26065,286085,661,231.05
26067,64223,278,432.87
26069,25345,4,15.78
26071,11348,0,0
26073,70698,303,428.58
26077,260263,2819,1083.14
26081,636369,2715,426.64
26083,2168,14,645.76
26087,88373,235,265.92
26089,21981,46,209.27
26091,98573,214,217.1
26093,187316,479,255.72
26095,6415,119,1855.03
26097,10890,117,1074.38
26099,864840,1318,152.4
26101,24461,157,641.84
26103,67215,102,151.75
26105,28783,174,604.52
26107,43067,477,1107.58
26109,23548,82,348.22
26111,83632,306,365.89
26113,14903,77,516.67
26117,62945,127,201.76
26119,9259,26,280.81
26121,172790,489,283
26123,47948,281,586.05
26125,1242304,60,4.83
26127,26105,232,888.72
26129,20937,150,716.44
26131,6007,22,366.24
26133,23058,171,741.61
26135,8251,92,1115.02
26137,24253,2,8.25
26139,279955,2652,947.3
26141,12841,43,334.86
26145,193307,621,321.25
26147,159875,686,429.09
26149,61018,291,476.91
26151,41475,121,291.74
26153,8173,5,61.18
26155,68619,167,243.37
26157,53777,221,410.96
26159,75077,473,630.02
26161,358880,2229,621.1
26163,1759335,21,1.19
26165,33003,285,863.56
27001,15702,178,1133.61
27003,344151,1011,293.77
27005,33386,163,488.23
27007,45672,318,696.27
27009,39710,182,458.32
27011,5040,14,277.78
27013,65787,129,196.09
27015,25313,36,142.22
27017,35569,178,500.44
27019,98741,535,541.82
27021,28706,523,1821.92
27023,12109,3,24.77
27025,54293,164,302.06
27027,62324,65,104.29
27029,8803,57,647.51
27031,5194,57,1097.42
27033,11549,15,129.88
27035,63428,225,354.73
27037,414686,65,15.67
27039,20364,115,564.72
27041,37075,198,534.05
27043,14050,39,277.58
27045,20834,68,326.39
27047,30613,95,310.33
27049,46435,181,389.79
27051,5903,8,135.52
27053,1223149,64,5.23
27055,18773,34,181.11
27057,20655,188,910.19
27059,38429,247,642.74
27061,45435,180,396.17
27063,10079,36,357.18
27067,42542,195,458.37
27069,4424,0,0
27071,12841,38,295.93
27073,6856,20,291.72
27075,10631,19,178.72
27077,3923,15,382.36
27079,27663,64,231.36
27083,25673,38,148.02
27085,35932,66,183.68
27087,5457,52,952.9
27091,20022,14,69.92
27093,23102,107,463.16
27095,25788,388,1504.58
27097,32775,205,625.48
27099,39116,77,196.85
27101,8413,8,95.09
27103,33347,59,176.93
27105,21770,41,188.33
27107,6678,0,0
27109,151436,268,176.97
27111,57716,244,422.76
27113,14219,47,330.54
27115,29069,701,2411.5
27117,9271,85,916.84
27119,31533,201,637.43
27121,11041,55,498.14
27123,538133,1390,258.3
27125,4055,19,468.56
27127,15471,50,323.19
27129,14892,86,577.49
27131,65400,160,244.65
27133,9600,64,666.67
27135,15770,37,234.62
27137,200431,616,307.34
27139,141660,29,20.47
27141,91705,302,329.32
27143,14875,3,20.17
27145,154708,185,119.58
27147,36755,88,239.42
27149,9796,35,357.29
27151,9340,4,42.83
27153,24257,157,647.24
27155,3401,18,529.26
27157,21239,29,136.54
27159,13875,20,144.14
27161,18989,59,310.71
27163,251597,631,250.8
27165,10952,34,310.45
27167,6396,20,312.7
27169,50885,85,167.04
27171,131311,1494,1137.76
27173,9875,38,384.81
28019,8299,63,759.13
28021,9150,108,1180.33
28033,173323,394,227.32
28039,23373,336,1437.56
28045,46420,544,1171.91
28047,201410,929,461.25
28049,242891,494,203.38
28059,141425,1523,1076.9
28073,60618,724,1194.36
28075,78524,437,556.52
28083,30999,250,806.48
28085,34649,330,952.41
28089,103465,223,215.53
28105,49800,464,931.73
28131,18070,221,1223.02
28141,19552,130,664.89
28143,10343,383,3702.99
29001,25378,102,401.92
29003,17296,42,242.83
29013,16446,154,936.4
29015,18670,236,1264.06
29021,89100,254,285.07
29025,9014,107,1187.04
29029,44237,502,1134.8
29033,8992,38,422.6
29035,6263,75,1197.51
29039,13934,89,638.73
29043,83279,314,377.05
29049,20609,69,334.81
29051,76720,415,540.93
29057,7595,110,1448.32
29059,16393,28,170.8
29061,8253,46,557.37
29063,12687,56,441.4
29065,15593,83,532.29
29071,102426,37,36.12
29073,14858,227,1527.8
29075,6692,31,463.24
29079,10097,17,168.37
29081,8615,36,417.88
29083,21737,345,1587.16
29085,9201,82,891.21
29089,10139,52,512.87
29091,40117,419,1044.44
29093,10125,67,661.73
29099,224124,3108,1386.73
29105,35473,382,1076.88
29109,38180,241,631.22
29115,12308,28,227.49
29117,15028,28,186.32
29121,15335,70,456.47
29123,12408,0,0
29129,3694,2,54.14
29149,10953,120,1095.59
29153,9409,65,690.83
29155,17482,102,583.46
29157,19183,70,364.91
29165,96096,338,351.73
29167,31229,360,1152.77
29169,53221,503,945.12
29173,10196,112,1098.47
29175,25104,112,446.14
29183,385590,896,232.37
29185,9440,126,1334.75
29186,17919,181,1010.1
29189,1003362,9898,986.48
29197,4436,40,901.71
29203,8258,39,472.27
29205,6128,11,179.5
29207,29862,266,890.76
29213,54592,380,696.07
29215,25690,170,661.74
29223,13405,194,1447.22
29225,37483,187,498.89
29227,2057,12,583.37
30001,9300,7,75.27
30003,13242,99,747.62
30007,5689,58,1019.51
30009,10408,64,614.91
30011,1180,0,0
30013,82278,248,301.42
30017,12135,35,288.42
30021,9625,22,228.57
30023,9139,281,3074.73
30027,11427,45,393.8
30029,96165,1053,1094.99
30031,100739,478,474.49
30033,1314,0,0
30037,827,9,1088.27
30041,16572,168,1013.76
30043,11645,106,910.26
30047,29457,341,1157.62
30049,66418,393,591.71
30053,19052,91,477.64
30055,1683,4,237.67
30057,7915,60,758.05
30059,1830,14,765.03
30065,4582,39,851.16
30067,15972,38,237.92
30071,4169,67,1607.1
30077,6840,31,453.22
30079,1160,12,1034.48
30081,41373,331,800.04
30083,11960,46,384.62
30085,11476,125,1089.23
30089,11336,40,352.86
30093,34622,1492,4309.4
30095,9486,70,737.93
30097,3634,66,1816.18
30099,6104,37,606.16
30101,5087,81,1592.29
30105,7659,37,483.09
30107,2110,16,758.29
30111,157048,799,508.76
31001,31587,76,240.61
31005,456,0,0
31011,5315,17,319.85
31013,11337,18,158.77
31019,48863,100,204.65
31021,6585,23,349.28
31023,8115,34,418.98
31025,25512,165,646.75
31027,8564,30,350.3
31029,3956,8,202.22
31031,5848,11,188.1
31033,10167,21,206.55
31037,10520,36,342.21
31039,9125,9,98.63
31041,10806,41,379.42
31047,23886,54,226.07
31049,1921,9,468.51
31051,5797,32,552.01
31053,36706,95,258.81
31055,550064,676,122.89
